0.859671, 0.928788, 0.252421, 0.298148, 0.169988, 0.737921, 0.426147, 0.568669, 0.474011, 0.244266, 0.103856, 0.870925, 1.000000, 0.447325, 0.307274, 0.860540, 0.797506, 0.870159, 1.000000
0.606367, 0.457227, 0.359316, 0.306302, 0.844088, 0.937501, 0.442487, 0.829203, 0.295175, 0.616383, 0.975832, 0.916335, 0.847149, 0.863988, 0.346527, 0.356977, 0.438628, 0.512305, 2.000000
0.998404, 0.372474, 0.517729, 0.505192, 0.619230, 0.607119, 0.745857, 0.195983, 0.817388, 0.679023, 0.803377, 0.645045, 0.719860, 0.924776, 0.315136, 0.250661, 0.285677, 0.365818, 2.000000
0.783951, 0.102452, 0.196926, 0.421678, 0.742619, 0.491993, 0.000941, 0.392530, 0.006825, 0.470614, 0.597745, 0.763119, 0.362815, 0.912788, 0.978782, 0.848106, 0.699851, 0.476013, 2.000000
0.406331, 0.512871, 0.060808, 0.636602, 0.845558, 0.442502, 0.188403, 0.488124, 0.357468, 0.550894, 0.743812, 0.312245, 0.651382, 0.521167, 0.042880, 0.377137, 0.280134, 0.132101, 2.000000
0.041016, 0.629059, 0.303083, 0.814939, 0.222385, 0.973978, 0.608633, 0.648669, 0.739161, 0.440019, 0.035580, 0.616820, 0.016236, 0.932341, 0.329105, 0.956701, 0.135283, 0.294721, 2.000000
0.160832, 0.548621, 0.152848, 0.655261, 0.139755, 0.798833, 0.403534, 0.663527, 0.046477, 0.577937, 0.264562, 0.961365, 0.699448, 0.466115, 0.637351, 0.010398, 0.147240, 0.213681, 2.000000
0.415392, 0.899605, 0.933364, 0.918625, 0.399011, 0.009000, 0.846458, 0.684702, 0.396478, 0.886952, 0.522258, 0.696001, 0.888581, 0.410278, 0.481135, 0.929024, 0.026235, 0.092533, 2.000000
0.166547, 0.352144, 0.989828, 0.286329, 0.563847, 0.403578, 0.378484, 0.479754, 0.057281, 0.235092, 0.290203, 0.392005, 0.254598, 0.487213, 0.053035, 0.864470, 0.415215, 0.487159, 2.000000
0.656013, 0.413293, 0.806461, 0.162211, 0.862695, 0.950287, 0.545059, 0.426609, 0.416372, 0.945940, 0.325124, 0.667656, 0.374378, 0.098049, 0.212894, 0.222777, 0.007073, 0.420020, 2.000000
0.590314, 0.292680, 0.423553, 0.329247, 0.457856, 0.832081, 0.495984, 0.159430, 0.973791, 0.491546, 0.083890, 0.976534, 0.928635, 0.293714, 0.804749, 0.873115, 0.546575, 0.885146, 2.000000
0.882592, 0.424313, 0.904681, 0.172074, 0.791663, 0.477299, 0.680437, 0.907171, 0.830215, 0.081906, 0.520396, 0.071977, 0.950388, 0.999821, 0.728876, 0.286035, 0.210863, 0.833834, 2.000000
0.961770, 0.978024, 0.859255, 0.615646, 0.615837, 0.353472, 0.834091, 0.094966, 0.229049, 0.955186, 0.577038, 0.785047, 0.531127, 0.173131, 0.544585, 0.080795, 0.733465, 0.531429, 1.000000
0.172326, 0.011671, 0.624087, 0.519397, 0.254084, 0.367698, 0.051396, 0.519135, 0.370269, 0.853885, 0.346786, 0.949453, 0.598238, 0.427458, 0.401271, 0.822537, 0.599913, 0.135500, 2.000000
0.396584, 0.199940, 0.969757, 0.838071, 0.610287, 0.245023, 0.788141, 0.356359, 0.122566, 0.509350, 0.403740, 0.867434, 0.500101, 0.588738, 0.014288, 0.895712, 0.562417, 0.028203, 2.000000
0.051269, 0.309954, 0.910769, 0.720242, 0.433138, 1.000000, 0.228083, 0.772676, 0.593434, 0.107390, 0.214801, 0.050808, 0.293327, 0.751376, 0.923204, 0.607887, 0.318280, 0.719028, 2.000000
