0.440982, 0.502066, 0.570780, 0.486486, 0.486101, 0.189302, 0.345150, 1.000000
0.405099, 0.446281, 0.662432, 0.368806, 0.501069, 0.032883, 0.215165, 1.000000
0.349386, 0.347107, 0.879310, 0.220721, 0.503920, 0.251453, 0.150665, 1.000000
0.306893, 0.316116, 0.793103, 0.239302, 0.533856, 0.194243, 0.140817, 1.000000
0.524079, 0.533058, 0.864791, 0.427365, 0.664291, 0.076701, 0.322994, 1.000000
0.357885, 0.371901, 0.789474, 0.274212, 0.486101, 0.220637, 0.215165, 1.000000
0.387158, 0.429752, 0.651543, 0.373874, 0.448325, 0.366784, 0.344658, 1.000000
0.332389, 0.349174, 0.753176, 0.293356, 0.478974, 0.251583, 0.236829, 1.000000
0.570349, 0.630165, 0.604356, 0.649775, 0.595153, 0.165767, 0.668636, 1.000000
0.552408, 0.586777, 0.725045, 0.554617, 0.623664, 0.156536, 0.499261, 1.000000
0.440982, 0.504132, 0.558076, 0.458896, 0.436208, 0.491217, 0.391433, 1.000000
0.324835, 0.361570, 0.648820, 0.303491, 0.406985, 0.123770, 0.237322, 1.000000
0.311615, 0.332645, 0.725045, 0.304054, 0.405560, 0.418794, 0.107829, 1.000000
0.301228, 0.340909, 0.615245, 0.326577, 0.374911, 0.308273, 0.173806, 1.000000
0.297450, 0.338843, 0.601633, 0.328266, 0.344975, 0.281749, 0.150665, 1.000000
0.377715, 0.386364, 0.827586, 0.254505, 0.501069, 0.444668, 0.129000, 1.000000
0.321058, 0.293388, 1.000000, 0.123874, 0.536707, 0.581063, 0.129000, 1.000000
0.481586, 0.483471, 0.886570, 0.353604, 0.630078, 0.108427, 0.259478, 1.000000
0.388102, 0.371901, 0.972777, 0.172297, 0.595866, 0.130271, 0.064008, 1.000000
0.201133, 0.239669, 0.549002, 0.184122, 0.298646, 0.433876, 0.194485, 1.000000
0.337110, 0.411157, 0.456443, 0.427365, 0.355666, 0.299952, 0.323486, 1.000000
0.332389, 0.382231, 0.581670, 0.349662, 0.383464, 0.250023, 0.344658, 1.000000
0.499528, 0.514463, 0.823049, 0.404842, 0.625089, 0.000000, 0.281635, 1.000000
0.140699, 0.169421, 0.529038, 0.112613, 0.218104, 0.084502, 0.217627, 1.000000
0.417375, 0.485537, 0.522686, 0.501126, 0.438346, 0.133391, 0.237322, 1.000000
0.528801, 0.568182, 0.696915, 0.525901, 0.563792, 0.017930, 0.387986, 1.000000
